Latin name, Botanical family and Growth habit	Vernacular name(s)	Part(s) used, Use(s) and Reference(s)
Acer negundo L.	box elder (Eng.); érable négondo, érable à Giguère (Fr.); adjagobi'mûk (Ojibwa)	Inner bark: Steeped and used as an emetic [Ojibwa: 87].
Aceraceae, Tree		
Acer nigrum Michx. f.	black maple (Eng.); érable noir (Fr.); ishig'omeaush' (Ojibwa)	Inner bark: Decoction used for diarrhoea [Ojibwa: 84].
Aceraceae, Tree		
Acer pensylvanicum L.	moosewood, striped maple (Eng.); érable de Pennsylvanie, bois barré, bois d'orignal (Fr.); mōn'zomĭsh' (Ojibwa); onsé'gakuk (Abenaki)	Medicinal tea [Algonquin: 69]. 
Aceraceae, Tree 		Bark: Steeped and made into a poultice for swelling of the limbs [Algonquians: 63]. Used for gonorrhea, kidney troubles and for blood spitting [Mi'kmaq: 60]. Bark used for bronchial trouble [Abenaki: 67]. Decoction drunk as a laxative [91]. 
		Inner bark: Boiled and taken as an emetic [Ojibwa: 84]. 
Acer rubrum L.	red maple (Eng.); érable rouge (Fr.); cicigîme'wîc (Ojibwa)	Bark: Tea used to wash and cure sore eyes [91, Ojibwa: 87]. 
Aceraceae, Tree		
Acer saccharinum L.	silver maple, soft maple, (Eng.); érable argenté (Fr.); innīnâ'tik, sigme-winš (Ojibwa)	Bark: Boiled and applied to sores [Ojibwa: 85]. Steeped and applied for chest pain [Mi'kmaq: 62]. 
Aceraceae, Tree		Inner bark: Decoction used for diarrhoea, or mixed with a Betula decoction and used as a diuretic [Ojibwa: 84].
Acer saccharum Marsh.	sugar maple (Eng.); érable à sucre (Fr.); a'nina'tĭg (Ojibwa)	Sap: Used as a tonic [55]. Used with a decoction of Caltha palustris as a cough syrup [Ojibwa: 88].
Aceraceae, Tree		Bark: Used as a tonic or physic [91]. 
Acer spicatum Lam.	mountain maple (Eng.); érable à épis (Fr.); malsuna'u (Malecite); cacagobi'mûk (Ojibwa); webanatuk (Atikamekw)	Branches: Pith put into the eye to remove foreign matter, or soaked in water to make a lotion for treating sore eyes [Ojibwa: 87]. 
Aceraceae, Tree		Bark: Steeped in water and the water used to cure eyes [Malecite: 65].
		Roots: Boiled and applied to wounds and abscess [Atikamekw: 73].
Achillea millefolium L.	yarrow, milfoil (Eng.); achillée millefeuille, herbe à dindes (Fr.); wapunewusk, wapanowask, wapānaskiy(h)k, astēskotawān, astawēskōtawan, miskigonimaski, oskānīmaskīgī, osgunīmasgigah, wīpōwānīwisikwān, kāwāpistikwānīkāpawik, āmowask (Cree); t'a'nchaydelgai (Chipewyan); sa'pagol (Malecite); a'djidamo'wano, adjidamo'anûk (Ojibwa); namahiba'go (Abenaki); teskwemaskiki (Atikamekw); kâuâpishtukuâniâshiti tshishiteu-nîpîsha (Montagnais); at''àn dagàii (Dene)	Whole plant: Used to stop bleeding [Dene: 13; Cree: 93]. Boiled until thick and used as a liniment [Malecite: 65]. Used for fever, cold and other respiratory disorders [Mi'kmaq: 43; Atikamekw: 73; Abenaki: 67; Algonquin: 69; Montagnais/Innu: 60, 71, 72]. Dried, mashed into a powder, and rubbed with leaves or bark on swelling, bruise, or sprain [Mi'kmaq: 43, 61]. Mixed with lard and applied to infected sores [Cree: 13]. Decoction used to treat diarrhoea [Cree: 13]. Soaking in a bath of hot water and Achillae millefolium helps treat arthritis or aching bones, and a twice-boiled decoction of the plant can be drunk after the bath [Cree: 13]. Boiled and wrapped on a sore body or used to wash the body to treat pain [Dene: 17]. Tea for cough and ulcers [Dene: 99] or stomach problems [Cree: 96]. Boiled and taken to treat diabetes [Cree: 93].
Asteraceae, Herb		Above-ground parts: Poultice used to treat headaches including migraines, arthritis, muscular pain, sore back, or body pain [Cree: 13; 96]. Tea drunk as a painkiller [Cree: 13] as well as for sore throat, cough and cold [Cree: 96]. Decoction drunk to treat sore chest [Cree: 13]. Poultice or tea used to treat colds, headaches, to stop bleeding or to relieve a sore throat, itchiness and other skin problems [Dene: 100]. 
		Leaves: Dried and boiled to make a decoction to treat diabetes [Cree: 13]. Crushed and used as a snuff for headaches, or boiled and the steam inhaled and the decoction drunk, or flower and leaves are burned and the smoke inhaled [Chippewa: 47; Cree: 13; Atikamekw: 73; Algonquin: 69]. Chewed and applied to burns, cuts or bee stings [Algonquin: 68; Cree: 13]. Infusion used as a wash for pimples, mosquito bites or other skin eruptions [Chippewa: 47; Dene: 13; Chipewyan: 92]. Poultice used in skin disorders, cuts, burns and bee stings [Cree: 96]. 
		Roots: An ointment rubbed on sores, aching bones or swellings to relieve the pain, and a decoction of the same mix is drunk to help reduce swelling [Cree: 13]. Seeds and roots are boiled and the steam used to treat sore eyes [Cree: 13]. 
		Flowers: Burned (sometimes with leaves) and the smoke used to fumigate a room in which someone is sick [Dene: 13]. Florets placed on a bed of coals and smoke inhaled to break a fever [Ojibwa: 87]. Fresh flower heads chewed and applied to bee stings, cuts, sores [Cree, Metis: 13] or placed in the nostril to stop a nosebleed [Cree: 13, 93]. Decoction drunk as a spring tonic, to regain lost appetite, to treat menstrual cramps or heavy menstruation, to aid in childbirth to relieve labor pains and to stop haemorrhaging [Cree, Dene: 13]. Used to treat sinus or chest congestion [Cree: 13]. Dried flower heads boiled and the decoction used as a wash for skin rashes or sores [Cree, Metis: 13]. Dried and smoked for headache [Chipewyan: 92]. Boiled and drunk to prevent nosebleed, the liquid can also be used to soothe infected skin and sunburns, or rashes, including eczema [Dene: 99]. Poultice used in skin disorders, cuts, burns and bee stings [Cree: 96]. Boiled and drunk to treat cough or liver ailments [Dene: 98].
Achillea millefolium ssp. lanulosa (Nuttall) Piper var. lanulosa 	boreal yarrow, Siberian yarrow (Eng.); achillée laineuse (Fr.); at''àn dagàu (Dene)	Above-ground parts: Poultice or tea used to treat cold, headache, to stop bleeding or to relieve sore throat, itchiness and other skin ailments [Dene: 100]. 
Syn.: A. millefolium L. var. borealis (Bong.) Farw.; A. borealis Bong.		
Asteraceae, Herb		
Achillea millefolium L. var. occidentalis DC.	western yarrow (Eng.); achillée laineuse (Fr.); wīcipōwānīwistikwān, kāwāpistikwānīkāpawik (Cree); wa'bîgwûn (Ojibwa)	Whole plant: Used in bruises, swellings and sprains [Mi'kmaq: 61]. 
Syn.: A. lanulosa Nutt.		Roots: Decoction taken for teething related sickness [Cree: 95]. 
Asteraceae, Herb 		Flowers: Crushed with Mentha arvensis, wrapped in a cloth and dipped in water to clean pus from the gums of a teething child [Cree: 95]. 
		Leaves: Poultice to cure the bite of a spider [Ojibwa: 87].
Achillea sibirica Ledeb.	Siberian yarrow (Eng.); achillée de Sibérie (Fr.); wīcipōwānīwistikwān, kāwāpistikwānīkāpawik, āmowask (Cree)	Roots: Decoction with other herbs taken internally for sickness realted to teething, chewed root applied to sores on the gums [Cree: 95]. 
Asteraceae, Herb		Above-ground parts: Tea used in sore throat, cough and cold [Cree: 96].
		Flowers: Boiled and drunk to treat cough and liver ailments [Dene: 98]. 

Aconogonon alaskanum (W. Wight ex Hultén) Soják var. alaskanum Syn.: Polygonum alpinum All.; P. alaskanum W. Wight ex Hultén	Alaska wild rhubarb (Eng.); renouée d'Alaska (Fr.)ts'u gyùu (Dene)	Leaves: Used on burns [Dene: 100]. 
Polygonaceae, Herb		
Acorus americanus (Raf.) Raf.	American sweetflag (Eng.); acore d'Amérique (Fr.)	Rhizome: Poultice used to treat skin disorders, bee stings, cuts and burns, headache, arthritis, muscular aches and pains. Sucked or drunk as tea to treat sore throat, cough and cold. Tea used in diabetes, fever, heart problems and as a wash to treat facial paralysis [Cree: 96]. Boiled and taken to treat diarrhoea, high blood pressure, sore throat, flu, cold, headaches, and pain [Cree: 93].
Araceae, Herb		
*Acorus calamus L.	sweet flag (Eng.); acorus roseau, belle-angélique (Fr.); wika (Chippewa); wachuskomechiwin, wachuskowmiytsuwin, wacaskōmīcowin, wacaskwatapih, wiy(h)kiyuw, wihkes, wīhkes, wihkis (Cree); dzëñni (Chipewyan); kiuhu'ziwazas (Malecite); wiikansh, na'bûgûck , wikĕn', na'bugûck' (Ojibwa); môskwas'wask (Abenaki)	Medicinal plant [Malecite: 59], componenent of many compound medicines used to treat venereal disease [Metis: 13], cough and cold [Cree: 42; Malecite: 65], heart trouble, headache, fever, infected wounds, muscle or joint pain including rheumatism [Cree: 13]. 
Araceae, Herb		Root: Scalded (not boiled) and used as a physic [Chippewa: 47]. Used to cure a cold in the throat [Chippewa: 47; Ojibwa: 87; Algonquin: 69], fever, tootache, earache, headache [Chippewa: 47; Ojibwa: 89] or for stomach cramps [Ojibwa: 87]. Used to cure open wounds [Mi'kmaq: 43]. Combined with pepperroot (Dentaria diphylla) given for heart disease and for coughs combined with cherry (Prunus virginiana) [Algonquin: 69]. Tea given to women after childbirth and used to treat the symptoms of menopause, or combined with Sorbus americana and used as a tonic [Algonquin: 69]. Chewed and juice swallowed for cold, sore throat and chest congestion, or powder used to treat chest infection [Dene: 17].
		Rhizome: Used as a tonic, to treat cholera, chewed against pharyngitis or for clearing the throat, an infusion is used by women in dysmenorrhea [Algonquians: 63; Chippewa: 88]. Chewed for cough [Mi'kmaq: 60]. Combined with the bark of Xanthozylon americanum, the bark of the roots of Sassafras variifolium and roots of Asarum canadense and steeped to make a remedy for cold, cough, and bronchial troubles [Chippewa: 85]. Carminative [Abenaki: 67], a decoction is drunk for fever and cold [44; Chippewa: 47; Cree, Dene, Metis: 13]. Pulverized and snuffed up nostrils in colds [Chippewa: 47]. Chewed and juice or decoction drunk to treat cold, cough including whooping cough, sore throat, sinus congestion, blood spitting, dry mouth, upset stomach, toothache, teething pain, rash, headache, rhumatism, muscle pain, chest pain, lower back pain, pounding heart, tonsillitis, pneumonia, diabetes, venereal disease or intestinal worms [44; Cree: 95; Cree, Dene, Metis: 13]. Chewed to treat tonsils, diabetes [Cree, Dene: 13], or to relieve fatigue on a long hike [Dene: 13]. Smoked, or chewed and the juice swallowed (or rarely boiled to make a drink) to treat cough and cold, sore throat, stomach ache, toothache, or pain. Mixed with stipe bases of Dryopteris spinulosa, roots of Aster puniceus and stems of Sorbus scopulina, boiled and drunk to relieve sore kidneys or other "internal pain". Combined with stipe bases of Dryopteris spinulosa and beaver castor and used as a heart medicine. Boiled with Amanita muscaria to make a wash for sore eyes [Chipewyan: 92]. Steam from boiling inhaled to relieve congestion, headache, or earache [Cree: 13]. Small piece softened in water and inserted into the ear or grinded, boiled, and mixed with flour to make a batter to make a compress placed over affected ear [Cree: 13]. Smoked to treat a cough or boiled to make a wash for sore eyes [Dene: 13]. Dried and grinded or freshly grated chewed and used as a poultice to treat headache and painful joints from arthritis, muscle cramps, a decoction is drunk to aid the healing [Cree: 13]. Powdered with other herbs (Nuphar variegatum or Heracleum lanatum) applied externally to treat headache, swelling of limbs, painful joints, muscle pain, and rheumatism, or chewed for cough, cuts, toothache, earache, bellyache, or facial paralysis [Cree: 95]. Cough medicine [Dene: 98].
Actaea pachypoda Elliot	white baneberry (Eng.); actée à gros pédicelles (Fr.); wapkadak (Ojibwa)	Used against menstrual disorders [Algonquin: 68].
Syn.: A. alba (L.) Mill.		Roots: Decoction given as a remedy for convulsions in both children and adults [Ojibwa: 85], or to slow excessive blood flow from menstruation, childbirth or wounds [Metis: 13]. 
Ranunculaceae, Herb		
Actaea racemosa L. var. racemosa 	cohosh root (Eng.); cimicaire à grappes (Fr.)	Roots: Used for kidney troubles [Algonquians: 63].
Syn.: Cimicifuga racemosa (L.) Nutt.		
Ranunculaceae, Herb		
Actaea rubra (Aiton) Willd.	red baneberry (Eng.); actée rouge, poison de couleuvre (Fr.); maskōminānātik (Cree); odzī'bĭkĕns', wi'cosidji'bĭk, wîckobidji'bîk (Ojibwa)	Whole plant: Used in a purgative tea [Cree: 42; Metis: 13]. 
Ranunculaceae, Herb		Roots: Decoction made with 20 other plants and drunk to treat nose bleeding [Dene: 13]. Mixed with spruce branch tips in a decoction taken to treat stomach problems such as indigestion or constipation [Ojibwa: 87; Metis: 13]. Decoction for stomach pain [Ojibwa: 44, 84; Penobscot: 44]. Decoction or infusion given to slow heavy menstrual flow [Ojibwa: 47; Cree: 95]. Tea drunk after childbirth [Ojibwa: 87]. 
Adiantum pedatum L.	maidenhair fern (Eng.); adiante pédalé, capillaire du Canada (Fr.)	Plant steeped for curing fits [Algonquians: 63].
Pteridaceae, Herb		
Agastache foeniculum (Pursh) Kuntze 	giant hyssop (Eng.); agastache fenouil (Fr.); kā-wīkīpakahk (Cree); weza'wûnûckwûk' (Ojibwa)	Whole plant: Dried and boiled with another herb to make a decoction drunk to treat stomachache [Cree: 13]. 
Syn.: A.anethiodora (Nutt.) Britton		Above-ground parts: Tea used in stomach problems [Cree: 96].
Lamiaceae, Herb		Stem and leaves: Mixed with other plants to make an infusion or decoction against blood spitting [Cree: 95]. Used for cough [Dene: 13]. Poultice applied to burns [Ojibwa: 47].
		Flowers: Chewed as a breath freshener [Cree: 95]. Poultice made with Solidago altissima and Rudbeckia laciniata applied to burns [Ojibwa: 47]. 
		Roots: Infusion for cold, chest pain, and cough [Ojibwa: 47].
Agrimonia gryposepala Wallr.	agrimony (Eng.); aigremoine à sépales crochus (Fr.); saga'tîgans (Ojibwa)	Roots: Used for urinary troubles [Ojibwa: 87].
Rosaceae, Herb		
Aletris farinosa L.	unicorn root, colicroot (Eng.); alétris farineux (Fr.)	Roots: Decoction used as a tonic and emmenagogue, and for stomachache [44].
Liliaceae, Herb		
*Alisma plantago-aquatica L.	broad-leaved water plantain (Eng.); alisma commun (Fr.); mitīhīmaskīhkīh (Cree)	Stem: Powdered stem base used as an ingredient in a many-herb remedy to treat various ailments [Cree: 95]. Dried stem base eaten directly or grated and taken in water for heart troubles, stomachache, cramps and stomach flu, constipation, prevent fainting during childbirth [Cree: 95].
Alismataceae, Herb		
Allium stellatum Fraser ex Ker Gawl.	wild onion (Eng.); ail étoilé (Fr.); mûckode'cigaga'wûnj (Ojibwa)	Boiled to obtain syrup taken to treat sore throat [55]. 
Liliaceae, Herb		Roots: Decoction used for cold [Ojibwa: 47]. 
Allium tricoccum Aiton	wild leek (Eng.); ail des bois (Fr.); siga'gawûnj' (Ojibwa)	Roots: Decoction used as an emetic [Ojibwa: 47].
Liliaceae, Herb		
Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen	speckled alder, mountain alder (Eng.); aulne rugueux (Fr.); wadûb', wado'bîn (Ojibwa); mithkwatō(h)spī, atōspī, oto'pé, wdopi (Abenaki); atûshpî (Montagnais)	Bark: Used as a laxative [Cree: 95], astringent and emetic [Ojibwa: 88]. Steeped with tamarack bark for anemia [Ojibwa: 85].Chewed in ulcerated mouth [Malecite: 65]. Shavings used as a poultice for sores or applied warm to swollen areas [Ojibwa: 85]. Decoction of shavings used as wash for skin cancer, drunk for leukemia together with Salix sp., or for anemia with Prunus virginiana and Rubus idaeus [Ojibwa: 85]. 
Syn.: A. rugosa (Du Roi) Spreng.		Inner bark: Tea used as an emetic, as a laxative, and in liver disorders [Algonquin: 69]. Decoction to wash sore eyes [Cree: 95]. Boiled to yield a red liquid used in skin troubles [Abenaki: 67; Montagnais: 71]. Decoction of Alnus incana and Viburnum acerifolium taken as an emetic [Ojibwa: 47]. Used in diabetes [Cree: 77, 82, 83].
Betulaceae, Tree		Twigs and stems: Decoction of branches as wash for burns or sore mouth and decoction of stem used for ulcers or bleeding ulcers [Ojibwa: 85].
		Roots: Hemostatic [Ojibwa: 87]. Decoction taken to ease labor in childbirth [Ojibwa: 47]. Decoction made from equal parts of roots of Cornus alternifolia, Cornus sericea and Alnus incana used as a wash or compress to treat sore eyes [Ojibwa: 47]. Tea used for blood stools as an astringent and coagulant [Ojibwa: 87]. Bark scraped off the root and mixed with molasses for toothache [Algonquin: 69].
Alnus rubra Bong.	red alder (Eng.); aulne rouge (Fr.)	Bark: Steeped and drunk to stop cholera [Montagnais: 70].
Betulaceae, Tree		
Alnus sp.	alder (Eng.); aulne (Fr.)	Boiled, mixed with porcupine fat, and taken as a physic [Mi'kmaq: 43].
Betulaceae, Tree		Bark: Boiled, then water is used to stop cramps and retching [Algonquians: 63], whereas pulp is used as a poultice for sore eyes [Algonquin: 75]. Steeped in water and taken for fever, stomach cramps, kidney problems, and asthma [Mi'kmaq: 62]. Tea used in diphtheria [Mi'kmaq: 43].
		Leaves: Used in fits [Mi'kmaq: 62].
		Bark and leaves: Used to cover body to treat fever or festers [Mi'kmaq: 43]. 
		Twigs: Boiled and drunk to purify blood [Mi'kmaq: 60]. 
Alnus viridis (Chaix) DC.	green alder (Eng.); atōspīah, atōsbīah, atōspī, māthatōspī, mithkwatōspi, miskwatōspi, mihkwatōspi (Cree)	Decoction used in a steam treatment to trigger menstruation [Cree: 95]. 
Betulaceae, Tree		Bark: Used in dropsy [Cree: 42]. 
		Flowers: Green female catkins boiled to make a medicinal tea for treating venereal disease in men [Dene: 13].
		Stem: Boiled to make an emetic for treating an upset stomach [Dene: 13]. 
		Roots: Decoction drunk to relieve menstrual cramps [Dene: 13], or used to treat scalding from boiling water [Cree: 13]. 
Alnus viridis (Chaix) DC. ssp. crispa (Aiton) Turrill	green alder (Eng.); aulne crispé (Fr.); k'áilisën (Chipewyan); māthatō(h)spī (Cree); shakâu tshîtshue (Montagnais); k'oh (Dene)	Decoction used in a steam treatment to trigger menstruation [Cree: 95]. Tea used to treat stomach pain [Dene: 100].
Syn: Alnus crispa (Aiton) Pursh		Cones: Boiled to make a tea to treat venereal disease in men [Chipewyan: 92]. 
Betulaceae, Tree		Stem: Tea taken for stomach pain [Chipewyan: 92].
		Inner bark: Tea used against diarrhoea [Montagnais: 71].
		Bark: Boiled and drunk to treat stomach ache, or cooled and rubbed on skin to heal sores, scabs, eczema, insect bites, sunburns, rashes and aching joints [Dene: 99]. 
		Buds: Chewed and juice swallowed for cold. Boiled and drunk for cold or applied to sores, or used for bathing to soothe eczema and rashes [Dene: 99].
		Roots: Mashed and eaten to help with stomach ache [Dene: 99]. 
		Leaves: Chewed or crushed and put on bee stings [Dene: 100].
Amanita muscaria Fr.	fly agaric (Eng.); amanite tue-mouche (Fr.)	Boiled with other plants to make eye-drops for sore eyes [Dene: 13].
Amanitaceae, Fungi		
Amelanchier alnifolia (Nutt.) Nutt ex M. Roem.	Saskatoon serviceberry, juneberry (Eng.); amélanchier à feuilles d'aulne, petites poires (Fr.); misaskatoomena, misakwatōminatik, msāskwatuwmin, saskwatoomina, saskwatōmin (Cree); k'ęàjie (Dene)	Roots and stem: Decoction drunk to treat lung problems including tuberculosis [Cree: 13]. 
Rosaceae, Shrub		Roots: Decoction with other herbs given to children to stop diarrhoea [Cree: 13]. Decoction used in teething, chest pain, cough, and lung infection [Cree: 95]. Tea used in stomach problems [Cree: 96]. Herbal water used for back paralysis [Cree: 93].
		Buds: Decoction drunk to slow diarrhoea [Cree: 13]. Tea used in stomach problems [Cree: 96].
		Stem: Decoction mixed with Symphoricarpos albus against fever [Cree: 95]. Tea drunk to cure urinary problems [Dene: 101].
		Berries: Tea drunk for whooping cough. Berry buds boiled and tea drunk to cure headache, stomach pain and diarrhoea [Dene: 101].
Amelanchier bartramiana (Tausch) M. Roem.	Bartram's shadbush (Eng.); amélanchier, de Bartram (Fr.); atûminânakashî (Montagnais)	Bark: Boiled and the preparation applied to wounds or taken as a tea to reduce cough [Montagnais: 71]. 
Rosaceae, Tree		
Amelanchier canadensis (L.) Medik.	shadbush, serviceberry (Eng.); amélanchier du Canada (Fr.); gizigwa'komĭnaga'wûnj (Ojibwa)	Roots: Steeped and taken to slow heavy menstrual flow [Ojibwa: 47]. Decoction combined with roots of cherry and young oak taken to treat dysentery; [Ojibwa: 47].
Rosaceae, Tree		Bark: Decoction combined with pin cherry, choke cherry and wild cherry taken to treat "female diseases" [Ojibwa: 47].
		Inner bark: Decoction used as a disinfectant [Ojibwa: 47].
Amelanchier laevis Wiegand	smooth juneberry, glabrous shadbush, (Eng.); amélanchier glabre, petites poires (Fr.); goziga'gominaga'wûnj (Ojibwa)	Bark: Tea for the expectant mother [Ojibwa: 87].
Rosaceae, Tree		
Amorpha canescens Pursh	leadplant (Eng.); faux indigo (Fr.); we'abŏnag'kak (Ojibwa)	Roots: Decoction for stomachache [Ojibwa: 84].
Fabaceae, Shrub		
Amphicarpaea bracteata (L.) var. comosa (L.) Fernald 	hogpeanut (Eng.); amphicarpe bractéolée (Fr.)	Roots: Decoction combined with other plants taken as a physic [Ojibwa: 47].
Syn.: Falcata comosa (L.) Kuntze		
Fabaceae, Vine		
Anaphalis margaritacea (L.) Benth.	pearly overlasting (Eng.); anaphale marguerite, immortelle (Fr.); wa'bigwûn, basi'bagûk (Ojibwa); kawapukanik (Atikamekw)	Plant decoction used for coughing and consumption [Algonquians: 63]. Poultice used against burns [Algonquin: 68].
Asteraceae, Herb		Flowers: Decoction used in paralysis [Ojibwa: 47]. Powder sprinkled on live coals and inhaled by a person who has a stroke of paralysis [Ojibwa: 87]. 
		Leaves: Boiled and applied to burns and skin problems [Atikamekw: 73]. 
Andromeda polifolia L. var. latifolia Aiton	glaucous-leaved bog rosemary (Eng.); andromède glauque (Fr.); kakouboushk (Cree)	Branches: Used to treat diabetes [Cree: 82]. 
Syn: Andromeda polifolia L. var. glaucophylla (Link) DC.		Stem and roots: Boiled and drunk to treat stomach problems [Dene: 98]. 
Ericaceae, Shrub		
Androsace septentrionalis L.	northern fairy-candelabra (Eng.); androsace septentrionale (Fr.)	Whole plant: Decoction used to wash hair or any body part to kill lice [Dene: 98].
Primulaceae, Herb		
Andropogon gerardii Vitman 	big bluestem (Eng.); barbon de Gérard (Fr.); mûckode'kanĕs (Ojibwa)	Roots: Decoction taken for stomach pain [Ojibwa: 47]. Decoction, alone or with Symphoricarpos albus, used to treat stoppage of urine [Ojibwa: 47].
Syn.: Andropogon furcatus Muhl. ex Willd.		
Poaceae, Herb		
Anemone canadensis L.	Canadian anemone (Eng.); anémone du Canada (Fr.); wabesgung, mîdewidji'bîk (Ojibwa)	Roots: Chewed slowly to a pulp and laid on a wound, serves as a styptic [Ojibwa: 85]. Steeped to make a wash for obstinate, scabby sores [Ojibwa: 85]. Eaten to clear the throat [Ojibwa: 87]. Decoction used for pains in the lumbar region [Ojibwa: 84].
Ranunculaceae, Herb		Leaves: Bruised and placed in nostril to stop nasal hemorrhage, or used as a styptic [Ojibwa: 85]. 
Anemone cylindrica A. Gray	thimble-weed (Eng.); anémone cylindrique (Fr.); gande gwa'sonînke' (Ojibwa)	Roots: Tea used to relieve lung congestion and tuberculosis [Ojibwa: 87]. 
Ranunculaceae, Herb		
Anemone multifida Poir.	wind-flower (Eng.); anémone multifide (Fr.)	Used against headache [Algonquin: 68].
Syn.: A.globosa (Torr. & A. Gray) Nutt. ex Pritz.		
Ranunculaceae, Herb		
Anemone sp.	anemone (Eng.); anémone (Fr.); wisŏg'ibŏk' (Ojibwa)	Leaves: Dried, powdered and used as an errhine, against headache [Ojibwa: 84].
Ranunculaceae, Herb		
Antennaria howellii Greene ssp. neodioica (Greene) Bayer 	lesser cat's-foot (Eng.); antennaire néodioïque, immortelle (Fr.); gagîge'bûg (Ojibwa)	Whole plant: Tea given to a mother after childbirth [Ojibwa: 87]. 
Syn.: A.neodioica Greene		
Asteraceae, Herb		
Antennaria neglecta Greene	lesser pussytoes (Eng.); antennaire négligée (Fr.); gagîge'bûg (Ojibwa)	Infusion given as a gynecological aid after childbirth [Ojibwa: 19]. 
Asteraceae, Herb		
Antennaria plantaginifolia (L.) Richardson	woman's tobacco (Eng.); antennaire à feuilles de plantain (Fr.)	Used for stomachache and as an expectorant [Ojibwa: 19].
Asteraceae, Herb		
