id	_vascanTaxonID	_part	_medicinalUse
4	http://data.canadensys.net/vascan/taxon/9207		Inner bark: Decoction used for diarrhoea [Ojibwa: 84].
5			Medicinal tea [Algonquin: 69]. 
5			Bark: Steeped and made into a poultice for swelling of the limbs [Algonquians: 63]. Used for gonorrhea, kidney troubles and for blood spitting [Mi'kmaq: 60]. Bark used for bronchial trouble [Abenaki: 67]. Decoction drunk as a laxative [91]. 
5			Inner bark: Boiled and taken as an emetic [Ojibwa: 84].
6	http://data.canadensys.net/vascan/taxon/9212		Bark: Tea used to wash and cure sore eyes [91, Ojibwa: 87]. 
7	http://data.canadensys.net/vascan/taxon/9213		Bark: Boiled and applied to sores [Ojibwa: 85]. Steeped and applied for chest pain [Mi'kmaq: 62]. 
7	http://data.canadensys.net/vascan/taxon/9213		Inner bark: Decoction used for diarrhoea, or mixed with a Betula decoction and used as a diuretic [Ojibwa: 84].
8	http://data.canadensys.net/vascan/taxon/9214		Sap: Used as a tonic [55]. Used with a decoction of Caltha palustris as a cough syrup [Ojibwa: 88].
8	http://data.canadensys.net/vascan/taxon/9214		Bark: Used as a tonic or physic [91].
9	http://data.canadensys.net/vascan/taxon/9215		Branches: Pith put into the eye to remove foreign matter, or soaked in water to make a lotion for treating sore eyes [Ojibwa: 87]. 
9	http://data.canadensys.net/vascan/taxon/9215		Bark: Steeped in water and the water used to cure eyes [Malecite: 65].
9	http://data.canadensys.net/vascan/taxon/9215		Roots: Boiled and applied to wounds and abscess [Atikamekw: 73].
10	http://data.canadensys.net/vascan/taxon/2768		Whole plant: Used to stop bleeding [Dene: 13; Cree: 93]. Boiled until thick and used as a liniment [Malecite: 65]. Used for fever, cold and other respiratory disorders [Mi'kmaq: 43; Atikamekw: 73; Abenaki: 67; Algonquin: 69; Montagnais/Innu: 60, 71, 72]. Dried, mashed into a powder, and rubbed with leaves or bark on swelling, bruise, or sprain [Mi'kmaq: 43, 61]. Mixed with lard and applied to infected sores [Cree: 13]. Decoction used to treat diarrhoea [Cree: 13]. Soaking in a bath of hot water and Achillae millefolium helps treat arthritis or aching bones, and a twice-boiled decoction of the plant can be drunk after the bath [Cree: 13]. Boiled and wrapped on a sore body or used to wash the body to treat pain [Dene: 17]. Tea for cough and ulcers [Dene: 99] or stomach problems [Cree: 96]. Boiled and taken to treat diabetes [Cree: 93].
10	http://data.canadensys.net/vascan/taxon/2768		Above-ground parts: Poultice used to treat headaches including migraines, arthritis, muscular pain, sore back, or body pain [Cree: 13; 96]. Tea drunk as a painkiller [Cree: 13] as well as for sore throat, cough and cold [Cree: 96]. Decoction drunk to treat sore chest [Cree: 13]. Poultice or tea used to treat colds, headaches, to stop bleeding or to relieve a sore throat, itchiness and other skin problems [Dene: 100]. 
10	http://data.canadensys.net/vascan/taxon/2768		Leaves: Dried and boiled to make a decoction to treat diabetes [Cree: 13]. Crushed and used as a snuff for headaches, or boiled and the steam inhaled and the decoction drunk, or flower and leaves are burned and the smoke inhaled [Chippewa: 47; Cree: 13; Atikamekw: 73; Algonquin: 69]. Chewed and applied to burns, cuts or bee stings [Algonquin: 68; Cree: 13]. Infusion used as a wash for pimples, mosquito bites or other skin eruptions [Chippewa: 47; Dene: 13; Chipewyan: 92]. Poultice used in skin disorders, cuts, burns and bee stings [Cree: 96]. 
10	http://data.canadensys.net/vascan/taxon/2768		Roots: An ointment rubbed on sores, aching bones or swellings to relieve the pain, and a decoction of the same mix is drunk to help reduce swelling [Cree: 13]. Seeds and roots are boiled and the steam used to treat sore eyes [Cree: 13]. 
10	http://data.canadensys.net/vascan/taxon/2768		Flowers: Burned (sometimes with leaves) and the smoke used to fumigate a room in which someone is sick [Dene: 13]. Florets placed on a bed of coals and smoke inhaled to break a fever [Ojibwa: 87]. Fresh flower heads chewed and applied to bee stings, cuts, sores [Cree, Metis: 13] or placed in the nostril to stop a nosebleed [Cree: 13, 93]. Decoction drunk as a spring tonic, to regain lost appetite, to treat menstrual cramps or heavy menstruation, to aid in childbirth to relieve labor pains and to stop haemorrhaging [Cree, Dene: 13]. Used to treat sinus or chest congestion [Cree: 13]. Dried flower heads boiled and the decoction used as a wash for skin rashes or sores [Cree, Metis: 13]. Dried and smoked for headache [Chipewyan: 92]. Boiled and drunk to prevent nosebleed, the liquid can also be used to soothe infected skin and sunburns, or rashes, including eczema [Dene: 99]. Poultice used in skin disorders, cuts, burns and bee stings [Cree: 96]. Boiled and drunk to treat cough or liver ailments [Dene: 98].
11	http://data.canadensys.net/vascan/taxon/10240		Above-ground parts: Poultice or tea used to treat cold, headache, to stop bleeding or to relieve sore throat, itchiness and other skin ailments [Dene: 100]. 
12	http://data.canadensys.net/vascan/taxon/2765		Whole plant: Used in bruises, swellings and sprains [Mi'kmaq: 61]. 
12	http://data.canadensys.net/vascan/taxon/2765		Roots: Decoction taken for teething related sickness [Cree: 95]. 
12	http://data.canadensys.net/vascan/taxon/2765		Flowers: Crushed with Mentha arvensis, wrapped in a cloth and dipped in water to clean pus from the gums of a teething child [Cree: 95]. 
12	http://data.canadensys.net/vascan/taxon/2765		Leaves: Poultice to cure the bite of a spider [Ojibwa: 87].
13			Roots: Decoction with other herbs taken internally for sickness realted to teething, chewed root applied to sores on the gums [Cree: 95]. 
13			Above-ground parts: Tea used in sore throat, cough and cold [Cree: 96].
13			Flowers: Boiled and drunk to treat cough and liver ailments [Dene: 98].
14	http://data.canadensys.net/vascan/taxon/22315		Leaves: Used on burns [Dene: 100]. 
15	http://data.canadensys.net/vascan/taxon/2432		Rhizome: Poultice used to treat skin disorders, bee stings, cuts and burns, headache, arthritis, muscular aches and pains. Sucked or drunk as tea to treat sore throat, cough and cold. Tea used in diabetes, fever, heart problems and as a wash to treat facial paralysis [Cree: 96]. Boiled and taken to treat diarrhoea, high blood pressure, sore throat, flu, cold, headaches, and pain [Cree: 93].
16	http://data.canadensys.net/vascan/taxon/2433		Medicinal plant [Malecite: 59], componenent of many compound medicines used to treat venereal disease [Metis: 13], cough and cold [Cree: 42; Malecite: 65], heart trouble, headache, fever, infected wounds, muscle or joint pain including rheumatism [Cree: 13]. 
16	http://data.canadensys.net/vascan/taxon/2433		Root: Scalded (not boiled) and used as a physic [Chippewa: 47]. Used to cure a cold in the throat [Chippewa: 47; Ojibwa: 87; Algonquin: 69], fever, tootache, earache, headache [Chippewa: 47; Ojibwa: 89] or for stomach cramps [Ojibwa: 87]. Used to cure open wounds [Mi'kmaq: 43]. Combined with pepperroot (Dentaria diphylla) given for heart disease and for coughs combined with cherry (Prunus virginiana) [Algonquin: 69]. Tea given to women after childbirth and used to treat the symptoms of menopause, or combined with Sorbus americana and used as a tonic [Algonquin: 69]. Chewed and juice swallowed for cold, sore throat and chest congestion, or powder used to treat chest infection [Dene: 17].
16	http://data.canadensys.net/vascan/taxon/2433		Rhizome: Used as a tonic, to treat cholera, chewed against pharyngitis or for clearing the throat, an infusion is used by women in dysmenorrhea [Algonquians: 63; Chippewa: 88]. Chewed for cough [Mi'kmaq: 60]. Combined with the bark of Xanthozylon americanum, the bark of the roots of Sassafras variifolium and roots of Asarum canadense and steeped to make a remedy for cold, cough, and bronchial troubles [Chippewa: 85]. Carminative [Abenaki: 67], a decoction is drunk for fever and cold [44; Chippewa: 47; Cree, Dene, Metis: 13]. Pulverized and snuffed up nostrils in colds [Chippewa: 47]. Chewed and juice or decoction drunk to treat cold, cough including whooping cough, sore throat, sinus congestion, blood spitting, dry mouth, upset stomach, toothache, teething pain, rash, headache, rhumatism, muscle pain, chest pain, lower back pain, pounding heart, tonsillitis, pneumonia, diabetes, venereal disease or intestinal worms [44; Cree: 95; Cree, Dene, Metis: 13]. Chewed to treat tonsils, diabetes [Cree, Dene: 13], or to relieve fatigue on a long hike [Dene: 13]. Smoked, or chewed and the juice swallowed (or rarely boiled to make a drink) to treat cough and cold, sore throat, stomach ache, toothache, or pain. Mixed with stipe bases of Dryopteris spinulosa, roots of Aster puniceus and stems of Sorbus scopulina, boiled and drunk to relieve sore kidneys or other "internal pain". Combined with stipe bases of Dryopteris spinulosa and beaver castor and used as a heart medicine. Boiled with Amanita muscaria to make a wash for sore eyes [Chipewyan: 92]. Steam from boiling inhaled to relieve congestion, headache, or earache [Cree: 13]. Small piece softened in water and inserted into the ear or grinded, boiled, and mixed with flour to make a batter to make a compress placed over affected ear [Cree: 13]. Smoked to treat a cough or boiled to make a wash for sore eyes [Dene: 13]. Dried and grinded or freshly grated chewed and used as a poultice to treat headache and painful joints from arthritis, muscle cramps, a decoction is drunk to aid the healing [Cree: 13]. Powdered with other herbs (Nuphar variegatum or Heracleum lanatum) applied externally to treat headache, swelling of limbs, painful joints, muscle pain, and rheumatism, or chewed for cough, cuts, toothache, earache, bellyache, or facial paralysis [Cree: 95]. Cough medicine [Dene: 98].
17	http://data.canadensys.net/vascan/taxon/8409		Used against menstrual disorders [Algonquin: 68].
17	http://data.canadensys.net/vascan/taxon/8409		Roots: Decoction given as a remedy for convulsions in both children and adults [Ojibwa: 85], or to slow excessive blood flow from menstruation, childbirth or wounds [Metis: 13]. 
18	http://data.canadensys.net/vascan/taxon/19498		Roots: Used for kidney troubles [Algonquians: 63].
19	http://data.canadensys.net/vascan/taxon/8412		Whole plant: Used in a purgative tea [Cree: 42; Metis: 13]. 
19	http://data.canadensys.net/vascan/taxon/8412		Roots: Decoction made with 20 other plants and drunk to treat nose bleeding [Dene: 13]. Mixed with spruce branch tips in a decoction taken to treat stomach problems such as indigestion or constipation [Ojibwa: 87; Metis: 13]. Decoction for stomach pain [Ojibwa: 44, 84; Penobscot: 44]. Decoction or infusion given to slow heavy menstrual flow [Ojibwa: 47; Cree: 95]. Tea drunk after childbirth [Ojibwa: 87].
20	http://data.canadensys.net/vascan/taxon/8382		Plant steeped for curing fits [Algonquians: 63].
21	http://data.canadensys.net/vascan/taxon/6351		Whole plant: Dried and boiled with another herb to make a decoction drunk to treat stomachache [Cree: 13]. 
21	http://data.canadensys.net/vascan/taxon/6351		Above-ground parts: Tea used in stomach problems [Cree: 96].
21	http://data.canadensys.net/vascan/taxon/6351		Stem and leaves: Mixed with other plants to make an infusion or decoction against blood spitting [Cree: 95]. Used for cough [Dene: 13]. Poultice applied to burns [Ojibwa: 47].
21	http://data.canadensys.net/vascan/taxon/6351		Flowers: Chewed as a breath freshener [Cree: 95]. Poultice made with Solidago altissima and Rudbeckia laciniata applied to burns [Ojibwa: 47]. 
21	http://data.canadensys.net/vascan/taxon/6351		Roots: Infusion for cold, chest pain, and cough [Ojibwa: 47].
22	http://data.canadensys.net/vascan/taxon/8601		Roots: Used for urinary troubles [Ojibwa: 87].
23	http://data.canadensys.net/vascan/taxon/9398		Roots: Decoction used as a tonic and emmenagogue, and for stomachache [44].
24	http://data.canadensys.net/vascan/taxon/9875		Stem: Powdered stem base used as an ingredient in a many-herb remedy to treat various ailments [Cree: 95]. Dried stem base eaten directly or grated and taken in water for heart troubles, stomachache, cramps and stomach flu, constipation, prevent fainting during childbirth [Cree: 95].
25	http://data.canadensys.net/vascan/taxon/2490		Boiled to obtain syrup taken to treat sore throat [55]. 
25	http://data.canadensys.net/vascan/taxon/2490		Roots: Decoction used for cold [Ojibwa: 47].
26	http://data.canadensys.net/vascan/taxon/2493		Roots: Decoction used as an emetic [Ojibwa: 47].
27	http://data.canadensys.net/vascan/taxon/3675		Bark: Used as a laxative [Cree: 95], astringent and emetic [Ojibwa: 88]. Steeped with tamarack bark for anemia [Ojibwa: 85].Chewed in ulcerated mouth [Malecite: 65]. Shavings used as a poultice for sores or applied warm to swollen areas [Ojibwa: 85]. Decoction of shavings used as wash for skin cancer, drunk for leukemia together with Salix sp., or for anemia with Prunus virginiana and Rubus idaeus [Ojibwa: 85]. 
27	http://data.canadensys.net/vascan/taxon/3675		Inner bark: Tea used as an emetic, as a laxative, and in liver disorders [Algonquin: 69]. Decoction to wash sore eyes [Cree: 95]. Boiled to yield a red liquid used in skin troubles [Abenaki: 67; Montagnais: 71]. Decoction of Alnus incana and Viburnum acerifolium taken as an emetic [Ojibwa: 47]. Used in diabetes [Cree: 77, 82, 83].
27	http://data.canadensys.net/vascan/taxon/3675		Twigs and stems: Decoction of branches as wash for burns or sore mouth and decoction of stem used for ulcers or bleeding ulcers [Ojibwa: 85].
27	http://data.canadensys.net/vascan/taxon/3675		Roots: Hemostatic [Ojibwa: 87]. Decoction taken to ease labor in childbirth [Ojibwa: 47]. Decoction made from equal parts of roots of Cornus alternifolia, Cornus sericea and Alnus incana used as a wash or compress to treat sore eyes [Ojibwa: 47]. Tea used for blood stools as an astringent and coagulant [Ojibwa: 87]. Bark scraped off the root and mixed with molasses for toothache [Algonquin: 69].
28	http://data.canadensys.net/vascan/taxon/3679		Bark: Steeped and drunk to stop cholera [Montagnais: 70].
29	http://data.canadensys.net/vascan/taxon/803		Boiled, mixed with porcupine fat, and taken as a physic [Mi'kmaq: 43].
29	http://data.canadensys.net/vascan/taxon/803		Bark: Boiled, then water is used to stop cramps and retching [Algonquians: 63], whereas pulp is used as a poultice for sore eyes [Algonquin: 75]. Steeped in water and taken for fever, stomach cramps, kidney problems, and asthma [Mi'kmaq: 62]. Tea used in diphtheria [Mi'kmaq: 43].
29	http://data.canadensys.net/vascan/taxon/803		Leaves: Used in fits [Mi'kmaq: 62].
29	http://data.canadensys.net/vascan/taxon/803		Bark and leaves: Used to cover body to treat fever or festers [Mi'kmaq: 43]. 
29	http://data.canadensys.net/vascan/taxon/803		Twigs: Boiled and drunk to purify blood [Mi'kmaq: 60].
30	http://data.canadensys.net/vascan/taxon/3682		Decoction used in a steam treatment to trigger menstruation [Cree: 95]. 
30	http://data.canadensys.net/vascan/taxon/3682		Bark: Used in dropsy [Cree: 42]. 
30	http://data.canadensys.net/vascan/taxon/3682		Flowers: Green female catkins boiled to make a medicinal tea for treating venereal disease in men [Dene: 13].
30	http://data.canadensys.net/vascan/taxon/3682		Stem: Boiled to make an emetic for treating an upset stomach [Dene: 13]. 
30	http://data.canadensys.net/vascan/taxon/3682		Roots: Decoction drunk to relieve menstrual cramps [Dene: 13], or used to treat scalding from boiling water [Cree: 13].
31	http://data.canadensys.net/vascan/taxon/3681		Decoction used in a steam treatment to trigger menstruation [Cree: 95]. Tea used to treat stomach pain [Dene: 100].
31	http://data.canadensys.net/vascan/taxon/3681		Cones: Boiled to make a tea to treat venereal disease in men [Chipewyan: 92]. 
31	http://data.canadensys.net/vascan/taxon/3681		Stem: Tea taken for stomach pain [Chipewyan: 92].
31	http://data.canadensys.net/vascan/taxon/3681		Inner bark: Tea used against diarrhoea [Montagnais: 71].
31	http://data.canadensys.net/vascan/taxon/3681		Bark: Boiled and drunk to treat stomach ache, or cooled and rubbed on skin to heal sores, scabs, eczema, insect bites, sunburns, rashes and aching joints [Dene: 99]. 
31	http://data.canadensys.net/vascan/taxon/3681		Buds: Chewed and juice swallowed for cold. Boiled and drunk for cold or applied to sores, or used for bathing to soothe eczema and rashes [Dene: 99].
31	http://data.canadensys.net/vascan/taxon/3681		Roots: Mashed and eaten to help with stomach ache [Dene: 99]. 
31	http://data.canadensys.net/vascan/taxon/3681		Leaves: Chewed or crushed and put on bee stings [Dene: 100].
32			Boiled with other plants to make eye-drops for sore eyes [Dene: 13].
33	http://data.canadensys.net/vascan/taxon/8617		Roots and stem: Decoction drunk to treat lung problems including tuberculosis [Cree: 13]. 
33	http://data.canadensys.net/vascan/taxon/8617		Roots: Decoction with other herbs given to children to stop diarrhoea [Cree: 13]. Decoction used in teething, chest pain, cough, and lung infection [Cree: 95]. Tea used in stomach problems [Cree: 96]. Herbal water used for back paralysis [Cree: 93].
33	http://data.canadensys.net/vascan/taxon/8617		Buds: Decoction drunk to slow diarrhoea [Cree: 13]. Tea used in stomach problems [Cree: 96].
33	http://data.canadensys.net/vascan/taxon/8617		Stem: Decoction mixed with Symphoricarpos albus against fever [Cree: 95]. Tea drunk to cure urinary problems [Dene: 101].
33	http://data.canadensys.net/vascan/taxon/8617		Berries: Tea drunk for whooping cough. Berry buds boiled and tea drunk to cure headache, stomach pain and diarrhoea [Dene: 101].
34	http://data.canadensys.net/vascan/taxon/8619		Bark: Boiled and the preparation applied to wounds or taken as a tea to reduce cough [Montagnais: 71]. 
35	http://data.canadensys.net/vascan/taxon/8620		Roots: Steeped and taken to slow heavy menstrual flow [Ojibwa: 47]. Decoction combined with roots of cherry and young oak taken to treat dysentery; [Ojibwa: 47].
35	http://data.canadensys.net/vascan/taxon/8620		Bark: Decoction combined with pin cherry, choke cherry and wild cherry taken to treat "female diseases" [Ojibwa: 47].
35	http://data.canadensys.net/vascan/taxon/8620		Inner bark: Decoction used as a disinfectant [Ojibwa: 47].
36	http://data.canadensys.net/vascan/taxon/8622		Bark: Tea for the expectant mother [Ojibwa: 87].
37	http://data.canadensys.net/vascan/taxon/5620		Roots: Decoction for stomachache [Ojibwa: 84].
38	http://data.canadensys.net/vascan/taxon/16140		Roots: Decoction combined with other plants taken as a physic [Ojibwa: 47].
39	http://data.canadensys.net/vascan/taxon/2797		Plant decoction used for coughing and consumption [Algonquians: 63]. Poultice used against burns [Algonquin: 68].
39	http://data.canadensys.net/vascan/taxon/2797		Flowers: Decoction used in paralysis [Ojibwa: 47]. Powder sprinkled on live coals and inhaled by a person who has a stroke of paralysis [Ojibwa: 87]. 
39	http://data.canadensys.net/vascan/taxon/2797		Leaves: Boiled and applied to burns and skin problems [Atikamekw: 73].
40	http://data.canadensys.net/vascan/taxon/5486		Branches: Used to treat diabetes [Cree: 82]. 
40	http://data.canadensys.net/vascan/taxon/5486		Stem and roots: Boiled and drunk to treat stomach problems [Dene: 98]. 
41	http://data.canadensys.net/vascan/taxon/7401		Whole plant: Decoction used to wash hair or any body part to kill lice [Dene: 98].
42	http://data.canadensys.net/vascan/taxon/8349		Roots: Decoction taken for stomach pain [Ojibwa: 47]. Decoction, alone or with Symphoricarpos albus, used to treat stoppage of urine [Ojibwa: 47].
43	http://data.canadensys.net/vascan/taxon/8419		Roots: Chewed slowly to a pulp and laid on a wound, serves as a styptic [Ojibwa: 85]. Steeped to make a wash for obstinate, scabby sores [Ojibwa: 85]. Eaten to clear the throat [Ojibwa: 87]. Decoction used for pains in the lumbar region [Ojibwa: 84].
43	http://data.canadensys.net/vascan/taxon/8419		Leaves: Bruised and placed in nostril to stop nasal hemorrhage, or used as a styptic [Ojibwa: 85].
44	http://data.canadensys.net/vascan/taxon/8420		Roots: Tea used to relieve lung congestion and tuberculosis [Ojibwa: 87]. 
45	http://data.canadensys.net/vascan/taxon/8426		Used against headache [Algonquin: 68].
46	http://data.canadensys.net/vascan/taxon/822		Leaves: Dried, powdered and used as an errhine, against headache [Ojibwa: 84].
47	http://data.canadensys.net/vascan/taxon/2813		Whole plant: Tea given to a mother after childbirth [Ojibwa: 87]. 
48	http://data.canadensys.net/vascan/taxon/2823		Infusion given as a gynecological aid after childbirth [Ojibwa: 19]. 
49	http://data.canadensys.net/vascan/taxon/2828		Used for stomachache and as an expectorant [Ojibwa: 19].
50	http://data.canadensys.net/vascan/taxon/2659		Whole plant: Tea given to increase lactation in nursing mothers, and cooled tea used as eyewash to treat sore eyes from smoke or snow blindness [Metis: 13; Cree: 95]. 
50	http://data.canadensys.net/vascan/taxon/2659		Roots: Dried, pulverized and snuffed up the nostrils, or put on hot stones and the fumes are inhaled, against headache. Powdered, moistened with lukewarm water and applied to incisions on the temples to treat headache. Decoction used to treat heart palpitation. Very weak decoction taken internally to treat cold. Cotton moistened with decoction used to stop nostril bleeding, or in severe cases mashed roots are used as a plug. Decoction poured into ear to treat soreness [Ojibwa: 47]. Placed upon live coals and the incense inhaled for throat trouble [Ojibwa: 87].
50	http://data.canadensys.net/vascan/taxon/2659		Stalk and roots: Steeped to make a tea for women to drink to keep the kidneys free during pregnancy [Ojibwa: 87].
51	http://data.canadensys.net/vascan/taxon/2662		Medicinal plant [Cree: 42]. Steeped in water and administered to expel worms [Algonquians: 63]. 
52	http://data.canadensys.net/vascan/taxon/8444		Roots: Used for stomach troubles [Ojibwa: 87].
53	http://data.canadensys.net/vascan/taxon/2683		Roots: Used in heart disease [Algonquin: 69]. 
53	http://data.canadensys.net/vascan/taxon/2683		Root bark: Scraped and dried before being used to prepare a tea for cough [Montagnais: 71].
54	http://data.canadensys.net/vascan/taxon/2684		Tea used as a blood medicine, for fainting and fits [Ojibwa: 86], or as a tonic [Abenaki: 67]. Decoction (excluding fruit) used to treat pneumonia in children [Cree: 95]. 
54	http://data.canadensys.net/vascan/taxon/2684		Leaves: Boiled with stems of Sorbus scopulina and Sarracenia purpurea to make a tea taken to relieve chest pain [Chipewyan: 92]. 
54	http://data.canadensys.net/vascan/taxon/2684		Roots: Used as a diuretic and alterative [Cree: 74]. Dried and crushed to a powder and steeped with sweet flag for cough, steeped and taken in weakness. Boiled in a box with hot stones, and decoction taken internally for stomachache, or merely as a beverage [Algonquians: 63]. Chewed and inserted in an aching ear [Atikamekw: 73]. Pounded in a mortar, boiled in hot water and used for blood purification during pregnancy [Ojibwa: 87]. Used as stimulant [Ojibwa: 88]. Fresh root pounded and applied as a poultice to bring a boil to a head or to cure a carbuncle [Ojibwa: 87]. Decoction used as a remedy for blood problems, or applied to a sore. Dried and powdered, or fresh root chewed and inserted in nostril to stop nose bleeding. Decoction of stalk of Ribes triste, root of Aralia racemosa and root of Aralia nudicaulis taken for amenorrhoea [Ojibwa: 47]. Powdered, steeped in water and used to treat cold and influenza [Mi'kmaq: 62]. Powdered and used in many-herb remedy to treat various ailments. Decoction taken internally for teething [Cree: 95]. Poultice used to treat infected wounds [Cree: 13, 93]. Tea for kidney disorders [Algonquin: 69].
54	http://data.canadensys.net/vascan/taxon/2684		Fruiting stalk: Decoction used to stimulate lactation. [Cree: 95].
54	http://data.canadensys.net/vascan/taxon/2684		Rhizomes: Chewed or made into a tea to treat heart pain, chronic chest pain, upset stomach, liver problems [Dene: 13; Chipewyan: 92] and sore throat [Cree: 13]. Poultice used to treat skin disorders, bee stings, cuts and burns [Cree: 96].
55	http://data.canadensys.net/vascan/taxon/2686		Small quantity of this plant with small quantities of Pyrola uliginosa, Baptisia tinctoria, Galium aperine, Streptopus amplexifolius, Acer pennsylvanicum and Eupatorium perfoliatum used for gonorrhea, kidney troubles and for blood spitting [Algonquians: 63]. Boiled and applied to wounds [Mi'kmaq: 43].
55	http://data.canadensys.net/vascan/taxon/2686		Roots: Infusion used as medicine [Ojibwa: 86]. Used to make poultices for boils [Chippewa: 85]. Tea used to treat tuberculosis, or combined with Euphorbia spp. to treat diabetes [Algonquin: 69]. Mixed with Cornus stolonifera and smoked against headache. Steeped and taken in consumption, against gonorrhoea, or mixed with black snakeroot in kidney trouble [Malecite: 65]. Grinded and taken with water for cold, cough and sore throat [Mi'kmaq: 62]. Steeped in water and drunk for cold [Mi'kmaq: 62]. Decoction taken in cough Poultice applied to boils, fractures, sprain or strained muscles [Ojibwa: 47] or to the feet in general dropsy [44]. Decoction of stalk of Ribes triste, root of Aralia racemosa and root of Aralia nudicaulis taken for amenorrhoea [Ojibwa: 47]. Rhizome/root used as a carminative as well as an expectorant and antiseptic in cough, chest pain and mortification [44].
55	http://data.canadensys.net/vascan/taxon/2686		Fruits: Juice and oil of the seeds poured into the ears to treat deafness [44].
56	http://data.canadensys.net/vascan/taxon/2847		Used as blood medicine [Ojibwa: 86]. 
56	http://data.canadensys.net/vascan/taxon/2847		Roots: Crushed with buds of Populus balsamifera and applied to sores [Malecite: 65].
56	http://data.canadensys.net/vascan/taxon/2847		Buds: Steeped and used in chancre [Malecite: 65].
57	http://data.canadensys.net/vascan/taxon/2848		For fever, headache and rheumatism [Abenaki: 67]. 
57	http://data.canadensys.net/vascan/taxon/2848		Roots: Mashed, heated and used as a poultice for boils and absceses [Algonquians: 63]. Used as a tonic or as part of a medicine for stomachache [Ojibwa: 87].
