id	description	type	source	_plantPart
5	Medicinal tea [Algonquin: 69]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
5	Steeped and made into a poultice for swelling of the limbs [Algonquians: 63]. Used for gonorrhea, kidney troubles and for blood spitting [Mi'kmaq: 60]. Bark used for bronchial trouble [Abenaki: 67]. Decoction drunk as a laxative [91].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark
5	Boiled and taken as an emetic [Ojibwa: 84].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	inner bark
6	Tea used to wash and cure sore eyes [91, Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark
7	Boiled and applied to sores [Ojibwa: 85]. Steeped and applied for chest pain [Mi'kmaq: 62].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark
7	Decoction used for diarrhoea, or mixed with a Betula decoction and used as a diuretic [Ojibwa: 84].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	inner bark
8	Used as a tonic [55]. Used with a decoction of Caltha palustris as a cough syrup [Ojibwa: 88].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	sap
8	Used as a tonic or physic [91].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark
9	Pith put into the eye to remove foreign matter, or soaked in water to make a lotion for treating sore eyes [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	branches
9	Steeped in water and the water used to cure eyes [Malecite: 65].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark
9	Boiled and applied to wounds and abscess [Atikamekw: 73].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
10	Used to stop bleeding [Dene: 13; Cree: 93]. Boiled until thick and used as a liniment [Malecite: 65]. Used for fever, cold and other respiratory disorders [Mi'kmaq: 43; Atikamekw: 73; Abenaki: 67; Algonquin: 69; Montagnais/Innu: 60, 71, 72]. Dried, mashed into a powder, and rubbed with leaves or bark on swelling, bruise, or sprain [Mi'kmaq: 43, 61]. Mixed with lard and applied to infected sores [Cree: 13]. Decoction used to treat diarrhoea [Cree: 13]. Soaking in a bath of hot water and Achillae millefolium helps treat arthritis or aching bones, and a twice-boiled decoction of the plant can be drunk after the bath [Cree: 13]. Boiled and wrapped on a sore body or used to wash the body to treat pain [Dene: 17]. Tea for cough and ulcers [Dene: 99] or stomach problems [Cree: 96]. Boiled and taken to treat diabetes [Cree: 93].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	whole plant
10	Poultice used to treat headaches including migraines, arthritis, muscular pain, sore back, or body pain [Cree: 13; 96]. Tea drunk as a painkiller [Cree: 13] as well as for sore throat, cough and cold [Cree: 96]. Decoction drunk to treat sore chest [Cree: 13]. Poultice or tea used to treat colds, headaches, to stop bleeding or to relieve a sore throat, itchiness and other skin problems [Dene: 100].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	above-ground parts
10	Dried and boiled to make a decoction to treat diabetes [Cree: 13]. Crushed and used as a snuff for headaches, or boiled and the steam inhaled and the decoction drunk, or flower and leaves are burned and the smoke inhaled [Chippewa: 47; Cree: 13; Atikamekw: 73; Algonquin: 69]. Chewed and applied to burns, cuts or bee stings [Algonquin: 68; Cree: 13]. Infusion used as a wash for pimples, mosquito bites or other skin eruptions [Chippewa: 47; Dene: 13; Chipewyan: 92]. Poultice used in skin disorders, cuts, burns and bee stings [Cree: 96].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
10	An ointment rubbed on sores, aching bones or swellings to relieve the pain, and a decoction of the same mix is drunk to help reduce swelling [Cree: 13]. Seeds and roots are boiled and the steam used to treat sore eyes [Cree: 13].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
10	Burned (sometimes with leaves) and the smoke used to fumigate a room in which someone is sick [Dene: 13]. Florets placed on a bed of coals and smoke inhaled to break a fever [Ojibwa: 87]. Fresh flower heads chewed and applied to bee stings, cuts, sores [Cree, Metis: 13] or placed in the nostril to stop a nosebleed [Cree: 13, 93]. Decoction drunk as a spring tonic, to regain lost appetite, to treat menstrual cramps or heavy menstruation, to aid in childbirth to relieve labor pains and to stop haemorrhaging [Cree, Dene: 13]. Used to treat sinus or chest congestion [Cree: 13]. Dried flower heads boiled and the decoction used as a wash for skin rashes or sores [Cree, Metis: 13]. Dried and smoked for headache [Chipewyan: 92]. Boiled and drunk to prevent nosebleed, the liquid can also be used to soothe infected skin and sunburns, or rashes, including eczema [Dene: 99]. Poultice used in skin disorders, cuts, burns and bee stings [Cree: 96]. Boiled and drunk to treat cough or liver ailments [Dene: 98].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	flowers
11	Poultice or tea used to treat cold, headache, to stop bleeding or to relieve sore throat, itchiness and other skin ailments [Dene: 100].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	above-ground parts
12	Used in bruises, swellings and sprains [Mi'kmaq: 61].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	whole plant
12	Decoction taken for teething related sickness [Cree: 95].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
12	Crushed with Mentha arvensis, wrapped in a cloth and dipped in water to clean pus from the gums of a teething child [Cree: 95].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	flowers
12	Poultice to cure the bite of a spider [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
13	Decoction with other herbs taken internally for sickness realted to teething, chewed root applied to sores on the gums [Cree: 95].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
13	Tea used in sore throat, cough and cold [Cree: 96].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	above-ground parts
13	Boiled and drunk to treat cough and liver ailments [Dene: 98].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	flowers
14	Used on burns [Dene: 100].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
15	Poultice used to treat skin disorders, bee stings, cuts and burns, headache, arthritis, muscular aches and pains. Sucked or drunk as tea to treat sore throat, cough and cold. Tea used in diabetes, fever, heart problems and as a wash to treat facial paralysis [Cree: 96]. Boiled and taken to treat diarrhoea, high blood pressure, sore throat, flu, cold, headaches, and pain [Cree: 93].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	rhizome
16	Medicinal plant [Malecite: 59], componenent of many compound medicines used to treat venereal disease [Metis: 13], cough and cold [Cree: 42; Malecite: 65], heart trouble, headache, fever, infected wounds, muscle or joint pain including rheumatism [Cree: 13]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
16	Scalded (not boiled) and used as a physic [Chippewa: 47]. Used to cure a cold in the throat [Chippewa: 47; Ojibwa: 87; Algonquin: 69], fever, tootache, earache, headache [Chippewa: 47; Ojibwa: 89] or for stomach cramps [Ojibwa: 87]. Used to cure open wounds [Mi'kmaq: 43]. Combined with pepperroot (Dentaria diphylla) given for heart disease and for coughs combined with cherry (Prunus virginiana) [Algonquin: 69]. Tea given to women after childbirth and used to treat the symptoms of menopause, or combined with Sorbus americana and used as a tonic [Algonquin: 69]. Chewed and juice swallowed for cold, sore throat and chest congestion, or powder used to treat chest infection [Dene: 17].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	root
16	Used as a tonic, to treat cholera, chewed against pharyngitis or for clearing the throat, an infusion is used by women in dysmenorrhea [Algonquians: 63; Chippewa: 88]. Chewed for cough [Mi'kmaq: 60]. Combined with the bark of Xanthozylon americanum, the bark of the roots of Sassafras variifolium and roots of Asarum canadense and steeped to make a remedy for cold, cough, and bronchial troubles [Chippewa: 85]. Carminative [Abenaki: 67], a decoction is drunk for fever and cold [44; Chippewa: 47; Cree, Dene, Metis: 13]. Pulverized and snuffed up nostrils in colds [Chippewa: 47]. Chewed and juice or decoction drunk to treat cold, cough including whooping cough, sore throat, sinus congestion, blood spitting, dry mouth, upset stomach, toothache, teething pain, rash, headache, rhumatism, muscle pain, chest pain, lower back pain, pounding heart, tonsillitis, pneumonia, diabetes, venereal disease or intestinal worms [44; Cree: 95; Cree, Dene, Metis: 13]. Chewed to treat tonsils, diabetes [Cree, Dene: 13], or to relieve fatigue on a long hike [Dene: 13]. Smoked, or chewed and the juice swallowed (or rarely boiled to make a drink) to treat cough and cold, sore throat, stomach ache, toothache, or pain. Mixed with stipe bases of Dryopteris spinulosa, roots of Aster puniceus and stems of Sorbus scopulina, boiled and drunk to relieve sore kidneys or other "internal pain". Combined with stipe bases of Dryopteris spinulosa and beaver castor and used as a heart medicine. Boiled with Amanita muscaria to make a wash for sore eyes [Chipewyan: 92]. Steam from boiling inhaled to relieve congestion, headache, or earache [Cree: 13]. Small piece softened in water and inserted into the ear or grinded, boiled, and mixed with flour to make a batter to make a compress placed over affected ear [Cree: 13]. Smoked to treat a cough or boiled to make a wash for sore eyes [Dene: 13]. Dried and grinded or freshly grated chewed and used as a poultice to treat headache and painful joints from arthritis, muscle cramps, a decoction is drunk to aid the healing [Cree: 13]. Powdered with other herbs (Nuphar variegatum or Heracleum lanatum) applied externally to treat headache, swelling of limbs, painful joints, muscle pain, and rheumatism, or chewed for cough, cuts, toothache, earache, bellyache, or facial paralysis [Cree: 95]. Cough medicine [Dene: 98].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	rhizome
17	Used against menstrual disorders [Algonquin: 68].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
17	Decoction given as a remedy for convulsions in both children and adults [Ojibwa: 85], or to slow excessive blood flow from menstruation, childbirth or wounds [Metis: 13].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
18	Used for kidney troubles [Algonquians: 63].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
19	Used in a purgative tea [Cree: 42; Metis: 13].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	whole plant
19	Decoction made with 20 other plants and drunk to treat nose bleeding [Dene: 13]. Mixed with spruce branch tips in a decoction taken to treat stomach problems such as indigestion or constipation [Ojibwa: 87; Metis: 13]. Decoction for stomach pain [Ojibwa: 44, 84; Penobscot: 44]. Decoction or infusion given to slow heavy menstrual flow [Ojibwa: 47; Cree: 95]. Tea drunk after childbirth [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
20	Plant steeped for curing fits [Algonquians: 63].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
21	Dried and boiled with another herb to make a decoction drunk to treat stomachache [Cree: 13].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	whole plant
21	Tea used in stomach problems [Cree: 96].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	above-ground parts
21	Mixed with other plants to make an infusion or decoction against blood spitting [Cree: 95]. Used for cough [Dene: 13]. Poultice applied to burns [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	stem and leaves
21	Chewed as a breath freshener [Cree: 95]. Poultice made with Solidago altissima and Rudbeckia laciniata applied to burns [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	flowers
21	Infusion for cold, chest pain, and cough [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
22	Used for urinary troubles [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
23	Decoction used as a tonic and emmenagogue, and for stomachache [44].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
24	Powdered stem base used as an ingredient in a many-herb remedy to treat various ailments [Cree: 95]. Dried stem base eaten directly or grated and taken in water for heart troubles, stomachache, cramps and stomach flu, constipation, prevent fainting during childbirth [Cree: 95].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	stem
25	Boiled to obtain syrup taken to treat sore throat [55]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
25	Decoction used for cold [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
26	Decoction used as an emetic [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
27	Used as a laxative [Cree: 95], astringent and emetic [Ojibwa: 88]. Steeped with tamarack bark for anemia [Ojibwa: 85].Chewed in ulcerated mouth [Malecite: 65]. Shavings used as a poultice for sores or applied warm to swollen areas [Ojibwa: 85]. Decoction of shavings used as wash for skin cancer, drunk for leukemia together with Salix sp., or for anemia with Prunus virginiana and Rubus idaeus [Ojibwa: 85].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark
27	Tea used as an emetic, as a laxative, and in liver disorders [Algonquin: 69]. Decoction to wash sore eyes [Cree: 95]. Boiled to yield a red liquid used in skin troubles [Abenaki: 67; Montagnais: 71]. Decoction of Alnus incana and Viburnum acerifolium taken as an emetic [Ojibwa: 47]. Used in diabetes [Cree: 77, 82, 83].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	inner bark
27	Decoction of branches as wash for burns or sore mouth and decoction of stem used for ulcers or bleeding ulcers [Ojibwa: 85].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	twigs and stems
27	Hemostatic [Ojibwa: 87]. Decoction taken to ease labor in childbirth [Ojibwa: 47]. Decoction made from equal parts of roots of Cornus alternifolia, Cornus sericea and Alnus incana used as a wash or compress to treat sore eyes [Ojibwa: 47]. Tea used for blood stools as an astringent and coagulant [Ojibwa: 87]. Bark scraped off the root and mixed with molasses for toothache [Algonquin: 69].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
28	Steeped and drunk to stop cholera [Montagnais: 70].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark
29	Boiled, mixed with porcupine fat, and taken as a physic [Mi'kmaq: 43].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
29	Boiled, then water is used to stop cramps and retching [Algonquians: 63], whereas pulp is used as a poultice for sore eyes [Algonquin: 75]. Steeped in water and taken for fever, stomach cramps, kidney problems, and asthma [Mi'kmaq: 62]. Tea used in diphtheria [Mi'kmaq: 43].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark
29	Used in fits [Mi'kmaq: 62].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
29	Used to cover body to treat fever or festers [Mi'kmaq: 43].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark and leaves
29	Boiled and drunk to purify blood [Mi'kmaq: 60].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	twigs
30	Decoction used in a steam treatment to trigger menstruation [Cree: 95]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
30	Used in dropsy [Cree: 42].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark
30	Green female catkins boiled to make a medicinal tea for treating venereal disease in men [Dene: 13].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	flowers
30	Boiled to make an emetic for treating an upset stomach [Dene: 13].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	stem
30	Decoction drunk to relieve menstrual cramps [Dene: 13], or used to treat scalding from boiling water [Cree: 13].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
31	Decoction used in a steam treatment to trigger menstruation [Cree: 95]. Tea used to treat stomach pain [Dene: 100].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
31	Boiled to make a tea to treat venereal disease in men [Chipewyan: 92].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	cones
31	Tea taken for stomach pain [Chipewyan: 92].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	stem
31	Tea used against diarrhoea [Montagnais: 71].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	inner bark
31	Boiled and drunk to treat stomach ache, or cooled and rubbed on skin to heal sores, scabs, eczema, insect bites, sunburns, rashes and aching joints [Dene: 99].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark
31	Chewed and juice swallowed for cold. Boiled and drunk for cold or applied to sores, or used for bathing to soothe eczema and rashes [Dene: 99].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	buds
31	Mashed and eaten to help with stomach ache [Dene: 99].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
31	Chewed or crushed and put on bee stings [Dene: 100].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
32	Boiled with other plants to make eye-drops for sore eyes [Dene: 13].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
33	Decoction drunk to treat lung problems including tuberculosis [Cree: 13].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots and stem
33	Decoction with other herbs given to children to stop diarrhoea [Cree: 13]. Decoction used in teething, chest pain, cough, and lung infection [Cree: 95]. Tea used in stomach problems [Cree: 96]. Herbal water used for back paralysis [Cree: 93].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
33	Decoction drunk to slow diarrhoea [Cree: 13]. Tea used in stomach problems [Cree: 96].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	buds
33	Decoction mixed with Symphoricarpos albus against fever [Cree: 95]. Tea drunk to cure urinary problems [Dene: 101].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	stem
33	Tea drunk for whooping cough. Berry buds boiled and tea drunk to cure headache, stomach pain and diarrhoea [Dene: 101].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	berries
34	Boiled and the preparation applied to wounds or taken as a tea to reduce cough [Montagnais: 71].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark
35	Steeped and taken to slow heavy menstrual flow [Ojibwa: 47]. Decoction combined with roots of cherry and young oak taken to treat dysentery; [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
35	Decoction combined with pin cherry, choke cherry and wild cherry taken to treat "female diseases" [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark
35	Decoction used as a disinfectant [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	inner bark
36	Tea for the expectant mother [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark
37	Decoction for stomachache [Ojibwa: 84].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
38	Decoction combined with other plants taken as a physic [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
39	Plant decoction used for coughing and consumption [Algonquians: 63]. Poultice used against burns [Algonquin: 68].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
39	Decoction used in paralysis [Ojibwa: 47]. Powder sprinkled on live coals and inhaled by a person who has a stroke of paralysis [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	flowers
39	Boiled and applied to burns and skin problems [Atikamekw: 73].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
40	Used to treat diabetes [Cree: 82].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	branches
40	Boiled and drunk to treat stomach problems [Dene: 98].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	stem and roots
41	Decoction used to wash hair or any body part to kill lice [Dene: 98].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	whole plant
42	Decoction taken for stomach pain [Ojibwa: 47]. Decoction, alone or with Symphoricarpos albus, used to treat stoppage of urine [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
43	Chewed slowly to a pulp and laid on a wound, serves as a styptic [Ojibwa: 85]. Steeped to make a wash for obstinate, scabby sores [Ojibwa: 85]. Eaten to clear the throat [Ojibwa: 87]. Decoction used for pains in the lumbar region [Ojibwa: 84].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
43	Bruised and placed in nostril to stop nasal hemorrhage, or used as a styptic [Ojibwa: 85].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
44	Tea used to relieve lung congestion and tuberculosis [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
45	Used against headache [Algonquin: 68].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
46	Dried, powdered and used as an errhine, against headache [Ojibwa: 84].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
47	Tea given to a mother after childbirth [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	whole plant
48	Infusion given as a gynecological aid after childbirth [Ojibwa: 19]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
49	Used for stomachache and as an expectorant [Ojibwa: 19].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
50	Tea given to increase lactation in nursing mothers, and cooled tea used as eyewash to treat sore eyes from smoke or snow blindness [Metis: 13; Cree: 95].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	whole plant
50	Dried, pulverized and snuffed up the nostrils, or put on hot stones and the fumes are inhaled, against headache. Powdered, moistened with lukewarm water and applied to incisions on the temples to treat headache. Decoction used to treat heart palpitation. Very weak decoction taken internally to treat cold. Cotton moistened with decoction used to stop nostril bleeding, or in severe cases mashed roots are used as a plug. Decoction poured into ear to treat soreness [Ojibwa: 47]. Placed upon live coals and the incense inhaled for throat trouble [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
50	Steeped to make a tea for women to drink to keep the kidneys free during pregnancy [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	stalk and roots
51	Medicinal plant [Cree: 42]. Steeped in water and administered to expel worms [Algonquians: 63]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
52	Used for stomach troubles [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
53	Used in heart disease [Algonquin: 69].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
53	Scraped and dried before being used to prepare a tea for cough [Montagnais: 71].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	root bark
54	Tea used as a blood medicine, for fainting and fits [Ojibwa: 86], or as a tonic [Abenaki: 67]. Decoction (excluding fruit) used to treat pneumonia in children [Cree: 95]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
54	Boiled with stems of Sorbus scopulina and Sarracenia purpurea to make a tea taken to relieve chest pain [Chipewyan: 92].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
54	Used as a diuretic and alterative [Cree: 74]. Dried and crushed to a powder and steeped with sweet flag for cough, steeped and taken in weakness. Boiled in a box with hot stones, and decoction taken internally for stomachache, or merely as a beverage [Algonquians: 63]. Chewed and inserted in an aching ear [Atikamekw: 73]. Pounded in a mortar, boiled in hot water and used for blood purification during pregnancy [Ojibwa: 87]. Used as stimulant [Ojibwa: 88]. Fresh root pounded and applied as a poultice to bring a boil to a head or to cure a carbuncle [Ojibwa: 87]. Decoction used as a remedy for blood problems, or applied to a sore. Dried and powdered, or fresh root chewed and inserted in nostril to stop nose bleeding. Decoction of stalk of Ribes triste, root of Aralia racemosa and root of Aralia nudicaulis taken for amenorrhoea [Ojibwa: 47]. Powdered, steeped in water and used to treat cold and influenza [Mi'kmaq: 62]. Powdered and used in many-herb remedy to treat various ailments. Decoction taken internally for teething [Cree: 95]. Poultice used to treat infected wounds [Cree: 13, 93]. Tea for kidney disorders [Algonquin: 69].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
54	Decoction used to stimulate lactation. [Cree: 95].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	fruiting stalk
